Original_Category,Encoded_Value
Adult & XXX,0
Agriculture,1
Architecture,2
Art & Culture,3
Astrology,4
Auto,5
Beauty,6
Betting,7
Blog,8
Books,9
Business,10
Charity & Non-Profit,11
Education,12
Classifieds,13
Crypto,14
Dating & Relationships,15
Do It Yourself,16
Emergency Services,17
Energy & Environment,18
Engineering,19
Events,20
Family & Children,21
Fashion,22
Finance,23
Food & Cooking,24
Funeral Services,25
Gambling,26
Games,27
General,28
Government,29
Health & Wellness,30
History,31
Home & Garden,32
Law,33
Lifestyle,34
Local Directory,35
Magazine,36
Marketing & Advertising,37
Media & Entertainment,38
Military,39
News,40
Other categories,41
Pets & Animals,42
Poetry,43
Politics,44
Real Estate,45
Religion,46
Senior Living,47
Shopping,48
Social Media,49
Sports,50
Technology,51
Toys & Collectibles,52
Travel,53
Weather,54
Work & Employment,55
